name,tvl,chain
MakerDAO,7659477581.632055,Ethereum
WBTC,5573295245.076916,Ethereum
Curve,5530837442.687067,Multi-Chain
Polygon Bridge & Staking,5105010696.080682,Polygon
AAVE,5065030898.901318,Multi-Chain
Lido,4571072680.592349,Multi-Chain
Uniswap,4536274737.365772,Multi-Chain
Convex Finance,3335157441.6547017,Ethereum
PancakeSwap,2989518026.0533414,Binance
Compound,2759292447.4044814,Ethereum
Multichain,2271000021.88868,Multi-Chain
JustLend,1805008380.4509053,Tron
Instadapp,1644972849.4310079,Ethereum
SushiSwap,1478029412.48814,Multi-Chain
Balancer,1402091586.9024234,Multi-Chain
Frax,1292077233.3761861,Multi-Chain
Arrakis Finance,1137097816.6474922,Multi-Chain
JustStables,954252681.915158,Tron
AAVE V3,901226942.3498645,Multi-Chain
hBTC,830889768.3528042,Ethereum
dYdX,809495267.8111215,Ethereum
JustCryptos,801734146.0,Tron
Yearn Finance,793292678.0931422,Multi-Chain
Portal,758941021.72,Multi-Chain
SUNSwap,719866587.2041974,Tron
VVS Finance,673849258.6876328,Cronos
Vires Finance,656286422.9713241,Waves
Venus,655438524.8474464,Binance
Iron Bank,647875465.4249163,Multi-Chain
Keep3r Network,557719254.0,Ethereum
Stargate,491515744.6902462,Multi-Chain
Abracadabra,477961334.71996266,Multi-Chain
Parallel DeFi Super App,457597991.961913,Parallel
Alpaca Finance,419765666.35897195,Multi-Chain
Liquity,416217091.8071603,Ethereum
DefiChain DEX,395125098.39216906,DefiChain
Serum,367189130.3393737,Solana
SUN.io,345205041.59908956,Tron
cBridge,340800020.7889353,Multi-Chain
Poly Network,327193122.94,Multi-Chain
Olympus DAO,324995747.5028384,Ethereum
Bancor,324192500.8303749,Ethereum
Solend,323446481.08384305,Solana
Tornado Cash,290461595.994,Multi-Chain
BiSwap,281180103.0639161,Binance
Synthetix,269820550.5240945,Multi-Chain
Beefy Finance,258161028.16503993,Multi-Chain
Rocket Pool,256209811.80222034,Ethereum
Quickswap,247093708.75948155,Polygon
Pando,243057325.66,Mixin
